cell_id	poi_count_total	poi_amenity_count	poi_shop_count	poi_tourism_count	poi_leisure_count	poi_office_count	poi_public_transport_count	poi_log1p_total
5_4	0	0	0	0	0	0	0	0.0
5_5	0	0	0	0	0	0	0	0.0
5_6	0	0	0	0	0	0	0	0.0
5_7	0	0	0	0	0	0	0	0.0
5_8	0	0	0	0	0	0	0	0.0
5_9	0	0	0	0	0	0	0	0.0
5_10	0	0	0	0	0	0	0	0.0
5_11	1	1	0	0	0	0	0	0.6931471805599453
5_12	23	16	0	2	5	0	0	3.1780538303479458
5_13	13	9	0	3	1	0	0	2.6390573296152584
5_14	42	33	1	2	6	0	0	3.7612001156935624
5_15	86	65	3	2	7	0	9	4.465908118654584
5_16	12	8	1	0	3	0	0	2.5649493574615367
5_17	54	31	4	8	10	0	1	4.007333185232471
5_18	11	10	0	0	1	0	0	2.4849066497880004
5_19	3	3	0	0	0	0	0	1.3862943611198906
5_20	3	2	0	0	1	0	0	1.3862943611198906
5_21	0	0	0	0	0	0	0	0.0
5_22	0	0	0	0	0	0	0	0.0
5_23	5	4	0	1	0	0	0	1.791759469228055
5_24	0	0	0	0	0	0	0	0.0
5_25	0	0	0	0	0	0	0	0.0
5_26	1	0	0	1	0	0	0	0.6931471805599453
5_27	1	0	0	1	0	0	0	0.6931471805599453
5_28	0	0	0	0	0	0	0	0.0
5_29	0	0	0	0	0	0	0	0.0
5_30	0	0	0	0	0	0	0	0.0
5_31	18	14	0	2	1	0	1	2.9444389791664403
5_32	0	0	0	0	0	0	0	0.0
5_33	0	0	0	0	0	0	0	0.0
5_34	0	0	0	0	0	0	0	0.0
5_35	0	0	0	0	0	0	0	0.0
5_36	0	0	0	0	0	0	0	0.0
5_37	0	0	0	0	0	0	0	0.0
5_38	0	0	0	0	0	0	0	0.0
5_39	0	0	0	0	0	0	0	0.0
5_40	0	0	0	0	0	0	0	0.0
5_41	0	0	0	0	0	0	0	0.0
5_42	0	0	0	0	0	0	0	0.0
5_43	0	0	0	0	0	0	0	0.0
5_44	0	0	0	0	0	0	0	0.0
